study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_300_60_rho0p5,200,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.123,0.410666,1.2458774364458924,0.8256650279583155,0.43886403760092796,0.010386096475577337
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_300_60_rho0p5,200,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.113,0.43507999999999997,1.3303113296648623,0.7020953165742223,0.4358701570996782,0.01001154333756789
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_300_60_rho0p5,200,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.118,0.41093799999999997,1.2557959945898718,0.8209348281812983,0.43562529689865187,0.01020176455325254
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_300_60_rho0p5,200,300,60,5.0,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.091,0.42908903021550365,-27.648999984882412,-276.1154116330254,0.00711539679847192,0.009094998625618368
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_90_60_rho0p5,200,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.188,0.6231545326671285,-0.19405628916068032,-0.9291753785504837,0.0007206002997700125,0.012355403676124872
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_90_60_rho0p5,200,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.049,0.533072,3.1226118103211755,3.050141537045543,0.30499813599768094,0.006826346021115542
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_90_60_rho0p5,200,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.054,0.430788,1.055096062171661,0.8519658430977406,0.3354429597030394,0.007147307185227175
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_90_60_rho0p5,200,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.058,0.45206,1.0637135670342535,0.717122900544066,0.33558104099845515,0.007391616873188166
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_90_60_rho0p5,200,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.057,0.466098,1.067828708687354,0.6243649571830663,0.3319671059984248,0.007331507348424334
study_size_unbalanced_ratio,size_unbalanced_chisq1_equicorrelation_200_90_60_rho0p5,200,90,60,1.5,equicorrelation,0.5,0.5,unbalanced_ratio_null_size,null,chisq1,Ours-I,0.05,500,1000,0.058,0.44818,1.0574732858837534,0.7655160772769071,0.3318524043004727,0.007391616873188166
