study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.063,0.47025,1.0497422006648358,0.6713227208143707,0.06926208919903729,0.007683163410991596
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.0,0.393372,1.0315421150190416,1.031173591421338,0.06901966750086286,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p1,100,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.0,0.40044930786985766,6.436357019484378,6.029256871949158,0.0007142564002424478,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p5,100,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.093,0.49858238560152085,0.003251625446752339,-0.0016091808948210462,0.00030307830090168863,0.009184280047995052
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p5,100,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.015,0.555314,3.618059373943139,3.5682348132144592,0.06480431670148391,0.003843826218756514
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p5,100,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.042,0.400944,1.0438394677652756,0.9671849224762401,0.06972043070034124,0.0063431853196954605
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p5,100,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.054,0.43670600000000004,1.0375252945856355,0.844506381315113,0.0698506319016451,0.007147307185227175
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p5,100,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.051,0.459766,1.0301192187870893,0.7024087558353036,0.06942138660163619,0.00695693898205238
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p5,100,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.0,0.363022,1.0458715934229528,1.0448676715167222,0.069323528297944,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p5,100,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.0,0.39797061882685664,7.28143349931546,6.8281566632891355,0.0007122494999784976,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p9,100,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.103,0.531396358702521,-0.05575125925401967,-0.1778104885704953,0.0003077549015870318,0.009612023720320296
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p9,100,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.059,0.42305000000000004,3.45920443741113,3.4233906916062367,0.06431664700002875,0.007451107300260815
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p9,100,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.047,0.397864,1.0483376688853792,0.9693279935756169,0.06973638180177659,0.006692607862410586
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p9,100,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.054,0.43810000000000004,1.0410405678375847,0.8440244965111952,0.06978824109979906,0.007147307185227175
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p9,100,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.053,0.461146,1.030201637085569,0.6996768424923034,0.06932770479947795,0.00708456067798138
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p9,100,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.03,0.41139600000000004,1.0502683975031004,1.0338574433213963,0.06925913709995803,0.005394441583704471
study_size_smalln,size_smalln_chisq1_toeplitz_100_60_60_rho0p9,100,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.017,0.45101593367542975,5.077151943522486,-2.8438518361794394,0.000721498096245341,0.004087909000944126
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p1,200,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.112,0.4974900890906919,0.019302982989030416,0.0017921089456530079,0.0006003303987672553,0.00997276290703835
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p1,200,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.003,0.7329439999999999,3.72202829766772,3.6918529896944583,0.2835835157012334,0.001729450779872038
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p1,200,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.045,0.43752199999999997,1.0166556166165859,0.9228593278163062,0.3137940181986196,0.0065555320150236475
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p1,200,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.045,0.471024,0.9915701046089496,0.7832503695481385,0.31373954230186063,0.0065555320150236475
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p1,200,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.049,0.48963999999999996,0.9663019059013005,0.6374194745175965,0.31196891549788414,0.006826346021115542
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p1,200,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.0,0.392324,1.0311584761026864,1.0310066580678234,0.3114070221000584,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p1,200,60,60,1.0,toeplitz,0.1,0.1,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.0,0.37382995595501467,25.640126460330677,24.8542630848018,0.0015769425990292802,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p5,200,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.064,0.5083212145939264,-0.042251615644208304,-0.01645228462024419,0.0005578281013295055,0.007739767438366608
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p5,200,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.013,0.5619379999999999,3.9163280984232824,3.8886622442780414,0.28923572250199503,0.003582038525755969
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p5,200,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.059,0.437132,1.0352688442544067,0.8941972296933576,0.3177151366992621,0.007451107300260815
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p5,200,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.059,0.468158,1.0263177892425912,0.7450979799532932,0.3174847225002013,0.007451107300260815
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p5,200,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.055,0.485748,1.0177966784484518,0.6125938789249677,0.31546953370026315,0.00720936890441875
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p5,200,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.0,0.36430799999999997,1.042349331436299,1.041728694151371,0.3146662505993154,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p5,200,60,60,1.0,toeplitz,0.5,0.5,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.0,0.38366022737267047,24.532302689231468,24.540040089547574,0.0014553148006089033,0.0
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p9,200,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Li-Chen,0.05,0,1000,0.076,0.5182225192554837,-0.03802755008839245,-0.1258898670491646,0.0005495211024535819,0.008379976133617566
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p9,200,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Max-bootstrap,0.05,500,1000,0.056,0.394882,3.8784074963656523,3.8387809393158907,0.2873149003004655,0.007270763371201128
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p9,200,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.3),0.05,500,1000,0.043,0.43617399999999995,1.0307462546321278,0.8814707873680316,0.31298317870195025,0.006414904519944158
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p9,200,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.5),0.05,500,1000,0.044,0.46673200000000004,1.013000384401073,0.724144345050385,0.3125942529976601,0.006485676526007136
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p9,200,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-C(0.7),0.05,500,1000,0.047,0.480668,0.9983769470310226,0.595197696683446,0.3099028967976337,0.006692607862410586
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p9,200,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Ours-I,0.05,500,1000,0.005,0.380932,1.0501716445936065,1.0435867159045635,0.30965308109938633,0.0022304708023195463
study_size_smalln,size_smalln_chisq1_toeplitz_200_60_60_rho0p9,200,60,60,1.0,toeplitz,0.9,0.9,small_equal_sample_null_size,null,chisq1,Wang-NR,0.05,0,1000,0.013,0.4369673562297165,24.379689090746965,11.776249590046007,0.001412277598050423,0.003582038525755969
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,gaussian,Li-Chen,0.05,0,1000,0.073,0.5337545074333728,-0.08081926834163237,-0.14349397358911803,0.0003031960021471605,0.008226238508577295
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,gaussian,Max-bootstrap,0.05,500,1000,0.083,0.356302,3.894533498860015,3.8531537060331775,0.06602755190129392,0.008724161850859944
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,gaussian,Ours-C(0.3),0.05,500,1000,0.046,0.40624400000000005,1.039641835561339,0.9646174245939898,0.06962539340066723,0.006624499981130651
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,gaussian,Ours-C(0.5),0.05,500,1000,0.05,0.44946600000000003,1.0232846226715455,0.8305231080615276,0.06961637809779495,0.006892024376045111
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,gaussian,Ours-C(0.7),0.05,500,1000,0.051,0.474116,1.00546380518867,0.6720410198069349,0.07031473510130308,0.00695693898205238
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,gaussian,Ours-I,0.05,500,1000,0.001,0.353644,1.04901744802253,1.0467497147095979,0.0698733486996498,0.0009994998749374609
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p1,100,60,60,1.0,equicorrelation,0.1,0.1,small_equal_sample_null_size,null,gaussian,Wang-NR,0.05,0,1000,0.017,0.3962595740471258,4.856375589255827,3.9793257727124,0.0007125964009901508,0.004087909000944126
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,gaussian,Li-Chen,0.05,0,1000,0.106,0.5710418413917343,-0.02522901197849083,-0.4827257340104719,0.00030858519941102713,0.009734680272099337
study_size_smalln,size_smalln_gaussian_equicorrelation_100_60_60_rho0p5,100,60,60,1.0,equicorrelation,0.5,0.5,small_equal_sample_null_size,null,gaussian,Max-bootstrap,0.05,500,1000,0.069,0.401484,3.3811389525342452,3.332789302764481,0.06520001349947416,0.008014923580421713
