p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,120,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,120,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.011,0.003298332912245215
100,180,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.054,0.007147307185227175
100,180,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.109,0.00985489725973843
100,180,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.086,0.008865889690267977
100,180,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.086,0.008865889690267977
100,180,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.083,0.008724161850859944
100,180,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,180,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.006,0.002442130217658346
100,300,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.063,0.007683163410991596
100,300,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.176,0.012042591083317577
100,300,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.095,0.00927227048785787
100,300,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.096,0.009315793041926168
100,300,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.087,0.00891240708226459
100,300,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,300,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.005,0.0022304708023195463
100,90,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.047,0.006692607862410586
100,90,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.062,0.007626008130076967
100,90,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.057,0.007331507348424334
100,90,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.063,0.007683163410991596
100,90,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.066,0.007851369307324678
100,90,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,90,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.01,0.003146426544510455
200,120,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.045,0.0065555320150236475
200,120,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.076,0.008379976133617566
200,120,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.064,0.007739767438366608
200,120,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.064,0.007739767438366608
200,120,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.061,0.0075682891065286355
200,120,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,120,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,180,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.063,0.007683163410991596
200,180,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.107,0.009775019181566858
200,180,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.075,0.008329165624478841
200,180,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.082,0.008676174272108648
200,180,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.074,0.00827792244467173
200,180,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,180,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.003,0.001729450779872038
200,300,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.044,0.006485676526007136
200,300,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.196,0.012553246592017541
200,300,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.078,0.008480330182251162
200,300,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.087,0.00891240708226459
200,300,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.083,0.008724161850859944
200,300,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,300,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.0,0.0
200,90,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.046,0.006624499981130651
200,90,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.06,0.007509993342207435
200,90,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.046,0.006624499981130651
200,90,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.046,0.006624499981130651
200,90,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.044,0.006485676526007136
200,90,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,90,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.002,0.0014127986409959489
100,120,60,laplace,equicorrelation,0.5,Li-Chen,1000,0.133,0.010738295954200556
100,120,60,laplace,equicorrelation,0.5,Max-bootstrap,1000,0.1,0.009486832980505138
