p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
100,120,150,gaussian,equicorrelation,0.9,Wang-NR,1000,0.046,0.006624499981130651
100,80,100,gaussian,equicorrelation,0.1,Li-Chen,1000,0.097,0.00935900635751467
100,80,100,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.062,0.007626008130076967
100,80,100,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.046,0.006624499981130651
100,80,100,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.05,0.006892024376045111
100,80,100,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.047,0.006692607862410586
100,80,100,gaussian,equicorrelation,0.1,Ours-I,1000,0.005,0.0022304708023195463
100,80,100,gaussian,equicorrelation,0.1,Wang-NR,1000,0.033,0.005648982209212559
100,80,100,gaussian,equicorrelation,0.5,Li-Chen,1000,0.111,0.00993373041711924
100,80,100,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.063,0.007683163410991596
100,80,100,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
100,80,100,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.054,0.007147307185227175
100,80,100,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.052,0.007021111023192838
100,80,100,gaussian,equicorrelation,0.5,Ours-I,1000,0.05,0.006892024376045111
100,80,100,gaussian,equicorrelation,0.5,Wang-NR,1000,0.047,0.006692607862410586
100,80,100,gaussian,equicorrelation,0.9,Li-Chen,1000,0.102,0.009570579919733181
100,80,100,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.049,0.006826346021115542
100,80,100,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.044,0.006485676526007136
100,80,100,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.053,0.00708456067798138
100,80,100,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.049,0.006826346021115542
100,80,100,gaussian,equicorrelation,0.9,Ours-I,1000,0.054,0.007147307185227175
100,80,100,gaussian,equicorrelation,0.9,Wang-NR,1000,0.048,0.006759881655768835
200,120,150,gaussian,equicorrelation,0.1,Li-Chen,1000,0.089,0.00900438781928011
200,120,150,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.057,0.007331507348424334
200,120,150,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.049,0.006826346021115542
200,120,150,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.053,0.00708456067798138
200,120,150,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.053,0.00708456067798138
200,120,150,gaussian,equicorrelation,0.1,Ours-I,1000,0.005,0.0022304708023195463
200,120,150,gaussian,equicorrelation,0.1,Wang-NR,1000,0.032,0.005565608681896348
200,120,150,gaussian,equicorrelation,0.5,Li-Chen,1000,0.101,0.009528850927577786
200,120,150,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.064,0.007739767438366608
200,120,150,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
200,120,150,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.053,0.00708456067798138
200,120,150,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.058,0.007391616873188166
200,120,150,gaussian,equicorrelation,0.5,Ours-I,1000,0.051,0.00695693898205238
200,120,150,gaussian,equicorrelation,0.5,Wang-NR,1000,0.048,0.006759881655768835
200,120,150,gaussian,equicorrelation,0.9,Li-Chen,1000,0.117,0.010164201887015036
200,120,150,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.055,0.00720936890441875
200,120,150,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.058,0.007391616873188166
200,120,150,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.06,0.007509993342207435
200,120,150,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.056,0.007270763371201128
200,120,150,gaussian,equicorrelation,0.9,Ours-I,1000,0.061,0.0075682891065286355
200,120,150,gaussian,equicorrelation,0.9,Wang-NR,1000,0.056,0.007270763371201128
200,80,100,gaussian,equicorrelation,0.1,Li-Chen,1000,0.089,0.00900438781928011
200,80,100,gaussian,equicorrelation,0.1,Max-bootstrap,1000,0.053,0.00708456067798138
200,80,100,gaussian,equicorrelation,0.1,Ours-C(0.3),1000,0.059,0.007451107300260815
200,80,100,gaussian,equicorrelation,0.1,Ours-C(0.5),1000,0.06,0.007509993342207435
200,80,100,gaussian,equicorrelation,0.1,Ours-C(0.7),1000,0.06,0.007509993342207435
200,80,100,gaussian,equicorrelation,0.1,Ours-I,1000,0.004,0.001995995991979944
200,80,100,gaussian,equicorrelation,0.1,Wang-NR,1000,0.028,0.005216895628628198
200,80,100,gaussian,equicorrelation,0.5,Li-Chen,1000,0.101,0.009528850927577786
200,80,100,gaussian,equicorrelation,0.5,Max-bootstrap,1000,0.059,0.007451107300260815
200,80,100,gaussian,equicorrelation,0.5,Ours-C(0.3),1000,0.053,0.00708456067798138
200,80,100,gaussian,equicorrelation,0.5,Ours-C(0.5),1000,0.05,0.006892024376045111
200,80,100,gaussian,equicorrelation,0.5,Ours-C(0.7),1000,0.053,0.00708456067798138
200,80,100,gaussian,equicorrelation,0.5,Ours-I,1000,0.053,0.00708456067798138
200,80,100,gaussian,equicorrelation,0.5,Wang-NR,1000,0.05,0.006892024376045111
200,80,100,gaussian,equicorrelation,0.9,Li-Chen,1000,0.11,0.009894442884771228
200,80,100,gaussian,equicorrelation,0.9,Max-bootstrap,1000,0.063,0.007683163410991596
200,80,100,gaussian,equicorrelation,0.9,Ours-C(0.3),1000,0.057,0.007331507348424334
200,80,100,gaussian,equicorrelation,0.9,Ours-C(0.5),1000,0.061,0.0075682891065286355
200,80,100,gaussian,equicorrelation,0.9,Ours-C(0.7),1000,0.056,0.007270763371201128
200,80,100,gaussian,equicorrelation,0.9,Ours-I,1000,0.058,0.007391616873188166
200,80,100,gaussian,equicorrelation,0.9,Wang-NR,1000,0.051,0.00695693898205238
100,120,150,gaussian,toeplitz,0.1,Li-Chen,1000,0.05,0.006892024376045111
100,120,150,gaussian,toeplitz,0.1,Max-bootstrap,1000,0.061,0.0075682891065286355
100,120,150,gaussian,toeplitz,0.1,Ours-C(0.3),1000,0.06,0.007509993342207435
100,120,150,gaussian,toeplitz,0.1,Ours-C(0.5),1000,0.064,0.007739767438366608
100,120,150,gaussian,toeplitz,0.1,Ours-C(0.7),1000,0.061,0.0075682891065286355
100,120,150,gaussian,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,120,150,gaussian,toeplitz,0.1,Wang-NR,1000,0.012,0.003443254274665175
100,120,150,gaussian,toeplitz,0.5,Li-Chen,1000,0.057,0.007331507348424334
100,120,150,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.05,0.006892024376045111
100,120,150,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.056,0.007270763371201128
100,120,150,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.057,0.007331507348424334
100,120,150,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.052,0.007021111023192838
100,120,150,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,120,150,gaussian,toeplitz,0.5,Wang-NR,1000,0.02,0.004427188724235731
100,120,150,gaussian,toeplitz,0.9,Li-Chen,1000,0.093,0.009184280047995052
100,120,150,gaussian,toeplitz,0.9,Max-bootstrap,1000,0.066,0.007851369307324678
100,120,150,gaussian,toeplitz,0.9,Ours-C(0.3),1000,0.057,0.007331507348424334
100,120,150,gaussian,toeplitz,0.9,Ours-C(0.5),1000,0.053,0.00708456067798138
100,120,150,gaussian,toeplitz,0.9,Ours-C(0.7),1000,0.048,0.006759881655768835
100,120,150,gaussian,toeplitz,0.9,Ours-I,1000,0.053,0.00708456067798138
100,120,150,gaussian,toeplitz,0.9,Wang-NR,1000,0.047,0.006692607862410586
100,80,100,gaussian,toeplitz,0.1,Li-Chen,1000,0.045,0.0065555320150236475
100,80,100,gaussian,toeplitz,0.1,Max-bootstrap,1000,0.056,0.007270763371201128
100,80,100,gaussian,toeplitz,0.1,Ours-C(0.3),1000,0.059,0.007451107300260815
100,80,100,gaussian,toeplitz,0.1,Ours-C(0.5),1000,0.063,0.007683163410991596
100,80,100,gaussian,toeplitz,0.1,Ours-C(0.7),1000,0.065,0.007795832219846705
100,80,100,gaussian,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,80,100,gaussian,toeplitz,0.1,Wang-NR,1000,0.009,0.002986469487538756
100,80,100,gaussian,toeplitz,0.5,Li-Chen,1000,0.055,0.00720936890441875
100,80,100,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.053,0.00708456067798138
100,80,100,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.054,0.007147307185227175
100,80,100,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.062,0.007626008130076967
100,80,100,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.059,0.007451107300260815
100,80,100,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,80,100,gaussian,toeplitz,0.5,Wang-NR,1000,0.015,0.003843826218756514
100,80,100,gaussian,toeplitz,0.9,Li-Chen,1000,0.075,0.008329165624478841
100,80,100,gaussian,toeplitz,0.9,Max-bootstrap,1000,0.079,0.008529888627643388
100,80,100,gaussian,toeplitz,0.9,Ours-C(0.3),1000,0.056,0.007270763371201128
100,80,100,gaussian,toeplitz,0.9,Ours-C(0.5),1000,0.063,0.007683163410991596
100,80,100,gaussian,toeplitz,0.9,Ours-C(0.7),1000,0.056,0.007270763371201128
100,80,100,gaussian,toeplitz,0.9,Ours-I,1000,0.039,0.006122009474020765
100,80,100,gaussian,toeplitz,0.9,Wang-NR,1000,0.043,0.006414904519944158
200,120,150,gaussian,toeplitz,0.1,Li-Chen,1000,0.049,0.006826346021115542
200,120,150,gaussian,toeplitz,0.1,Max-bootstrap,1000,0.057,0.007331507348424334
200,120,150,gaussian,toeplitz,0.1,Ours-C(0.3),1000,0.066,0.007851369307324678
200,120,150,gaussian,toeplitz,0.1,Ours-C(0.5),1000,0.07,0.008068457101577725
200,120,150,gaussian,toeplitz,0.1,Ours-C(0.7),1000,0.066,0.007851369307324678
200,120,150,gaussian,toeplitz,0.1,Ours-I,1000,0.0,0.0
200,120,150,gaussian,toeplitz,0.1,Wang-NR,1000,0.006,0.002442130217658346
200,120,150,gaussian,toeplitz,0.5,Li-Chen,1000,0.054,0.007147307185227175
