study,scenario_id,p,n1,n2,n1_over_n2,family,rho0,rho_alt,design,alternative,innovation,method,alpha,B,R,rejection_rate,mean_p_value,mean_statistic,median_statistic,mean_elapsed_sec,MCSE,block_size,high_variance,rho_block
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p25,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.25,studentized_low_variance_dense_block_search,alternative,gaussian,Wang-NR,0.05,0,500,0.018,0.37529585304963337,1377.5445499152152,1352.373898234946,0.0037817554008215664,0.005945754788081997,80,25.0,0.25
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p3,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.3,studentized_low_variance_dense_block_search,alternative,gaussian,Li-Chen,0.05,0,500,0.11,0.4333843137976912,0.24831738721900298,0.27257248054826394,0.0012313263989053667,0.013992855319769442,80,25.0,0.3
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p3,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.3,studentized_low_variance_dense_block_search,alternative,gaussian,Max-bootstrap,0.05,500,500,1.0,0.00098,5.7361847802616435,5.7329611169950585,0.37124559399764984,0.0,80,25.0,0.3
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p3,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.3,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.3),0.05,500,500,0.986,0.005128,2.970145254105765,2.8970893269646814,0.395313917596126,0.0052543315464481325,80,25.0,0.3
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p3,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.3,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.5),0.05,500,500,0.978,0.00538,5.770748914812796,5.549099386763265,0.3948488076010253,0.006559878047646925,80,25.0,0.3
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p3,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.3,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-C(0.7),0.05,500,500,0.984,0.005528000000000001,8.870099928736972,8.503887170604788,0.39443933420069516,0.00561141693336006,80,25.0,0.3
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p3,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.3,studentized_low_variance_dense_block_search,alternative,gaussian,Ours-I,0.05,500,500,1.0,0.0,1.950882277298887,1.944534897800382,0.3936524459947832,0.0,80,25.0,0.3
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p3,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.3,studentized_low_variance_dense_block_search,alternative,gaussian,Raw-L2,0.05,500,500,0.0,0.40518,240.69116853195376,240.649706412848,0.36745162259880454,0.0,80,25.0,0.3
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p3,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.3,studentized_low_variance_dense_block_search,alternative,gaussian,Wang-NR,0.05,0,500,0.02,0.35421410679923043,1664.7512564515407,1682.554261731104,0.00378859380283393,0.006260990336999411,80,25.0,0.3
study_power_studentized_search,studentized_lowblock_p200_b80_hv25_rho0p35,200,120,150,0.8,diagonal_high_variance_low_block,0.0,0.35,studentized_low_variance_dense_block_search,alternative,gaussian,Li-Chen,0.05,0,500,0.096,0.440916764629921,0.22592191145508625,0.21691828153275677,0.001214566797716543,0.013174520864152897,80,25.0,0.35
