p,n1,n2,innovation,covariance family,rho,method,R,empirical size,MCSE
200,60,60,gaussian,equicorrelation,0.9,Wang-NR,1000,0.04,0.0061967733539318665
100,60,60,gaussian,toeplitz,0.1,Li-Chen,1000,0.051,0.00695693898205238
100,60,60,gaussian,toeplitz,0.1,Max-bootstrap,1000,0.08,0.008579044235810887
100,60,60,gaussian,toeplitz,0.1,Ours-C(0.3),1000,0.05,0.006892024376045111
100,60,60,gaussian,toeplitz,0.1,Ours-C(0.5),1000,0.061,0.0075682891065286355
100,60,60,gaussian,toeplitz,0.1,Ours-C(0.7),1000,0.061,0.0075682891065286355
100,60,60,gaussian,toeplitz,0.1,Ours-I,1000,0.0,0.0
100,60,60,gaussian,toeplitz,0.1,Wang-NR,1000,0.008,0.0028170906978654416
100,60,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.053,0.00708456067798138
100,60,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.062,0.007626008130076967
100,60,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.053,0.00708456067798138
100,60,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.057,0.007331507348424334
100,60,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.062,0.007626008130076967
100,60,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
100,60,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.009,0.002986469487538756
100,60,60,gaussian,toeplitz,0.9,Li-Chen,1000,0.082,0.008676174272108648
100,60,60,gaussian,toeplitz,0.9,Max-bootstrap,1000,0.073,0.008226238508577295
100,60,60,gaussian,toeplitz,0.9,Ours-C(0.3),1000,0.055,0.00720936890441875
100,60,60,gaussian,toeplitz,0.9,Ours-C(0.5),1000,0.056,0.007270763371201128
100,60,60,gaussian,toeplitz,0.9,Ours-C(0.7),1000,0.061,0.0075682891065286355
100,60,60,gaussian,toeplitz,0.9,Ours-I,1000,0.034,0.005730968504537431
100,60,60,gaussian,toeplitz,0.9,Wang-NR,1000,0.039,0.006122009474020765
200,60,60,gaussian,toeplitz,0.1,Li-Chen,1000,0.061,0.0075682891065286355
200,60,60,gaussian,toeplitz,0.1,Max-bootstrap,1000,0.058,0.007391616873188166
200,60,60,gaussian,toeplitz,0.1,Ours-C(0.3),1000,0.052,0.007021111023192838
200,60,60,gaussian,toeplitz,0.1,Ours-C(0.5),1000,0.056,0.007270763371201128
200,60,60,gaussian,toeplitz,0.1,Ours-C(0.7),1000,0.061,0.0075682891065286355
200,60,60,gaussian,toeplitz,0.1,Ours-I,1000,0.0,0.0
200,60,60,gaussian,toeplitz,0.1,Wang-NR,1000,0.004,0.001995995991979944
200,60,60,gaussian,toeplitz,0.5,Li-Chen,1000,0.043,0.006414904519944158
200,60,60,gaussian,toeplitz,0.5,Max-bootstrap,1000,0.075,0.008329165624478841
200,60,60,gaussian,toeplitz,0.5,Ours-C(0.3),1000,0.042,0.0063431853196954605
200,60,60,gaussian,toeplitz,0.5,Ours-C(0.5),1000,0.046,0.006624499981130651
200,60,60,gaussian,toeplitz,0.5,Ours-C(0.7),1000,0.046,0.006624499981130651
200,60,60,gaussian,toeplitz,0.5,Ours-I,1000,0.0,0.0
200,60,60,gaussian,toeplitz,0.5,Wang-NR,1000,0.001,0.0009994998749374609
200,60,60,gaussian,toeplitz,0.9,Li-Chen,1000,0.067,0.007906389820898032
